mix,role,start_seconds,end_seconds,rms_mean,crest_factor_mean,stereo_width,stereo_imbalance,side_mid_db,bark_mid_01,bark_side_01,bark_mid_02,bark_side_02,bark_mid_03,bark_side_03,bark_mid_04,bark_side_04,bark_mid_05,bark_side_05,bark_mid_06,bark_side_06,bark_mid_07,bark_side_07,bark_mid_08,bark_side_08,bark_mid_09,bark_side_09,bark_mid_10,bark_side_10,bark_mid_11,bark_side_11,bark_mid_12,bark_side_12,bark_mid_13,bark_side_13,bark_mid_14,bark_side_14,bark_mid_15,bark_side_15,bark_mid_16,bark_side_16,bark_mid_17,bark_side_17,bark_mid_18,bark_side_18,bark_mid_19,bark_side_19,bark_mid_20,bark_side_20,bark_mid_21,bark_side_21,bark_mid_22,bark_side_22,bark_mid_23,bark_side_23,bark_mid_24,bark_side_24,pc1,pc2
DU-H,reference,10,16,0.04969459027,19.7702034,0.02400548942,0.04044633731,-16.1968941,6.258831117,4.288061952,5.819283945,3.828103839,5.377976254,3.70812992,4.989581097,3.627742112,4.670512179,3.21038012,4.251478236,3.037339984,4.210777433,2.89406409,3.986053671,2.800266466,4.030810971,2.993973481,4.080217349,3.146877287,4.234995544,3.475835929,4.130611286,3.452175363,4.248493876,3.40152113,4.331484879,3.448917161,4.262933637,3.440466451,4.299996876,3.397436643,4.639829214,3.605719274,4.849582702,3.97765919,5.219484943,4.305542888,5.31865114,4.165619577,5.507982243,4.33398149,5.655524565,4.47835126,5.706027664,4.362883139,4.265364338,2.4687738,-1.089319792,-0.09256821941
DU-H,reference,14,20,0.04828308523,20.08276917,0.02546032704,0.04659595713,-15.94136039,6.275080168,4.325036984,5.762609198,3.745470139,5.230636572,3.530180889,4.760101541,3.383394652,4.574740962,3.182574849,4.18986328,3.004530645,3.849247393,2.650871082,3.808188005,2.784316507,4.079864549,3.041441245,4.222883,3.250590677,4.287562715,3.557822949,4.043576709,3.434795196,4.075014652,3.415235871,4.299677814,3.517693963,4.446171641,3.613257173,4.339215973,3.482298194,4.686084904,3.69251038,4.78597356,4.043651144,5.156808313,4.375084375,5.182043781,4.263778291,5.479033037,4.364408945,5.659227544,4.442164403,5.723558613,4.330594129,4.28179475,2.342520037,-1.173213958,-0.0306623344
DU-H,reference,18,24,0.05410442874,19.09401336,0.02829179354,0.04243927822,-15.48339525,6.439552379,4.450641496,5.904222574,3.866589913,5.410446386,3.677236002,4.749898096,3.343384229,4.83838739,3.442858453,4.619633697,3.440798257,4.060957083,2.954221831,4.318038899,3.271367248,4.252382675,3.232127725,4.55093666,3.492712141,4.631804937,3.747953657,4.39306935,3.652190849,4.402705487,3.741587033,4.598055902,3.85471244,4.666516821,3.83814496,4.670086439,3.840166503,5.227791581,4.224826982,5.240774474,4.512931817,5.596034223,4.762776345,5.698946416,4.713404446,5.856803651,4.814908443,5.903755938,4.738921175,5.839013673,4.483320196,4.320893538,2.460133468,-0.5877131239,-0.1978241127
DU-H,reference,22,28,0.0476715602,20.96202308,0.0250950437,0.03182632476,-16.00412058,6.268693726,4.317416888,5.703263174,3.734636763,5.256465146,3.584182148,4.749412757,3.309086836,4.750688478,3.272402087,4.429092245,3.159178139,4.021536798,2.806430653,4.077609417,2.975990331,4.233782864,3.147570039,4.338781649,3.22795137,4.399006698,3.433532202,4.184803218,3.415121774,3.944941424,3.358929429,4.074635443,3.469838846,4.17071395,3.462172132,4.242323323,3.466576096,4.682666261,3.693178363,4.755297383,4.001558671,5.085027847,4.219878813,5.224317617,4.135352213,5.378030647,4.288704693,5.563087709,4.410864226,5.616181731,4.196003995,4.181026145,2.255211985,-1.203488741,0.07092731331
DU-H,reference,26,32,0.0482160598,19.41251261,0.02322464436,0.04574695602,-16.34050898,6.226507192,4.285879883,5.714105058,3.692621097,5.324006184,3.6386335,4.789711082,3.344919288,4.442497382,3.040093004,4.078193408,2.928200736,3.911358715,2.719474934,3.90247373,2.913089862,3.784022681,2.979353129,3.772888137,3.04267732,3.759423269,3.192825125,3.750781402,3.208750758,3.850092287,3.316882438,4.142366553,3.4771887,4.144982855,3.481362644,4.022160013,3.336695683,4.608019407,3.665888774,4.76953714,3.992680829,5.117151373,4.226404265,5.199080062,4.152437952,5.407376705,4.30379616,5.653300557,4.472566248,5.692593435,4.315547011,4.2430959,2.339222689,-1.312288609,-0.1079866601
DU-H,reference,30,36,0.05401895568,19.0224793,0.02823094465,0.03749421984,-15.4927456,6.291940361,4.414304196,5.792333153,3.891556867,5.334287014,3.613233135,4.844563084,3.460133709,4.836841741,3.401758421,4.397783058,3.318607778,4.05721863,3.251348109,4.3211613,3.38956173,4.238629804,3.380885642,4.117322702,3.371469002,4.118155315,3.423658259,4.225562178,3.507599975,4.419058744,3.713086363,4.586155788,3.851286578,4.709424274,3.83226531,4.625821968,3.899215649,5.015871913,4.271824981,5.216153684,4.640325622,5.451116902,4.775701014,5.535487085,4.779805909,5.731685755,4.857370891,5.898679469,4.827870447,5.824057106,4.517375574,4.269831337,2.493934341,-0.6617100608,-0.1748785618
DU-H,reference,34,40,0.0596014671,18.39528287,0.04087086394,0.02947127074,-13.88586209,6.452506482,4.538424515,5.8335055,4.046491518,5.375132846,3.871774432,4.876873107,3.699084991,4.978928459,3.785121436,4.867018528,3.954158404,4.338514287,3.955420383,4.658011699,4.199698686,5.327558304,4.360514669,4.969868896,4.031709822,4.686644718,4.070162487,4.976683448,4.052996115,4.789596984,3.98854797,4.858442199,4.029772471,5.059979977,4.064933219,4.997883846,4.20614234,5.209340024,4.536297249,5.337558352,4.867965176,5.620169503,4.987779627,5.647004166,5.034555286,5.807027225,5.058903153,5.979095396,4.942522802,5.841352475,4.533976621,4.266118344,2.514369377,-0.03509981238,-0.2802665971
DU-H,reference,38,44,0.05376352742,19.79414422,0.05417010188,0.03692818806,-12.66240299,6.373371253,4.418508319,5.889883946,3.88690241,5.393771951,3.901479242,4.930233444,3.85661575,5.076408009,3.990711685,4.954132022,3.950880896,4.743382429,3.961503917,5.196272855,4.843825178,4.950649016,4.440330649,4.894643412,4.283876598,4.726776856,4.280369073,4.397880544,3.913218492,4.373987053,3.925889225,4.472011409,3.7649343,4.733341274,3.853702716,4.626990205,3.887378574,4.926297571,4.109575485,5.066466547,4.346275058,5.420482129,4.582022799,5.459696879,4.557747254,5.610683787,4.558728032,5.863786078,4.687719396,5.796879005,4.434100875,4.269222685,2.479967137,-0.3503829827,-0.01011212584
DU-H,reference,42,48,0.05952701345,19.3399454,0.04512869194,0.03372788802,-13.45547237,6.481645699,4.488329551,6.008406617,3.871446465,5.36971844,3.799096387,4.980440109,3.84106981,5.079132428,3.886053438,4.834748077,3.949899818,4.668874773,3.986025789,5.14706413,4.680551403,4.957046304,4.360627687,4.966412544,4.383731807,4.832226987,4.182217732,4.499277655,3.873977258,4.393659357,3.809689555,4.298603363,3.690330794,4.497257146,3.750430068,4.445857055,3.738725248,4.872156028,3.941461411,5.133403179,4.202208932,5.433702646,4.541088712,5.501879366,4.506378971,5.657912896,4.595466374,5.807077221,4.734184445,5.829391083,4.586655388,4.335603069,2.63367943,-0.2237165756,-0.1916291437
DU-H,reference,46,52,0.05767211318,19.59075125,0.04799793661,0.0235108342,-13.18777423,6.465369953,4.468001373,6.0234575,3.952587938,5.478107963,3.982994188,4.968707258,3.868564906,4.977008498,3.789845254,4.763976514,4.163785858,4.579025303,4.379563367,4.7726944,4.374879807,4.968115444,4.362799542,4.973432034,4.545273422,4.750100925,4.089511721,4.676777423,3.976338602,4.433233468,3.709060633,4.361400364,3.720740376,4.415648516,3.674702682,4.594988712,3.731811031,4.919427044,3.874023124,5.094424323,4.163979895,5.473773748,4.579553967,5.565542259,4.547490428,5.695907197,4.623295032,5.809814947,4.756939053,5.843074685,4.624538793,4.336299755,2.665961467,-0.2707194977,-0.1273889692
