prediction_example_id,trial_id,participant_id,baseline_model,model_label,formula,fit_status,message,fit_method,runtime_seconds,training_row_count,target_candidate_count,target_rows_excluded,target_trial_training_rows,participant_other_trial_rows_retained,same_stimulus_other_participant_rows_retained,target_exclusion_validated,compatible_hash,draws,tune,chains,cores,target_accept,inference_method,random_seed,divergences,max_rhat,min_bulk_ess,min_tail_ess,terms,approximate_residual_sigma,posterior_draw_count,approximation_method
real_loto__P001__trial_01,P001__trial_01,P001,categorical_design,Stimulus baseline,rating ~ episode + group + (1 | participant_id) + (1 | stimulus_id),fit_ok,Fast empirical-Bayes Gaussian posterior approximation; MCMC diagnostics not applicable.,laplace,0.016562000004341826,895,5,5,0,25,235,True,0181557e83a055ea5b9a1623c06648c14650c210255ed51c62f286d9445577a5,500,500,2,1,0.95,nutpie,20260818,,,,,"['Intercept', 'episode[EDR-2]', 'episode[FM-1]', 'group[group_02]', 'participant[P001]', 'participant[P002]', 'participant[P003]', 'participant[P004]', 'participant[P005]', 'participant[P006]', 'participant[P007]', 'participant[P008]', 'participant[P009]', 'participant[P010]', 'participant[P011]', 'participant[P012]', 'participant[P013]', 'participant[P014]', 'participant[P015]', 'participant[P016]', 'participant[P017]', 'participant[P018]', 'participant[P019]', 'participant[P020]', 'participant[P021]', 'participant[P022]', 'participant[P023]', 'participant[P024]', 'participant[P025]', 'participant[P026]', 'participant[P027]', 'participant[P028]', 'participant[P029]', 'participant[P030]', 'stimulus[id_like_to_know_pxl_s1]', 'stimulus[id_like_to_know_pxl_s2]', 'stimulus[id_like_to_know_pxl_s3]', 'stimulus[id_like_to_know_pxl_s5]', 'stimulus[id_like_to_know_pxl_s7]', 'stimulus[in_the_meantime_du_h]', 'stimulus[in_the_meantime_du_i]', 'stimulus[in_the_meantime_du_k]', 'stimulus[in_the_meantime_qut_b]', 'stimulus[in_the_meantime_qut_pro]', 'stimulus[lead_me_du_d]', 'stimulus[lead_me_du_e]', 'stimulus[lead_me_mcg_pro2]', 'stimulus[lead_me_pxl_l1]', 'stimulus[lead_me_pxl_l4]', 'stimulus[pouring_room_mcg_pro1]', 'stimulus[pouring_room_mcg_r]', 'stimulus[pouring_room_mcg_t]', 'stimulus[pouring_room_mcg_v]', 'stimulus[pouring_room_mcg_x]']",26.69149613273491,1000,empirical_bayes_gaussian_linear_posterior
real_loto__P001__trial_01,P001__trial_01,P001,primary_acoustic,Primary acoustic feature baseline,rating ~ episode + group + z_RMS + z_CF + z_SW + (1 | participant_id) + (1 | stimulus_id),fit_ok,Fast empirical-Bayes Gaussian posterior approximation; MCMC diagnostics not applicable.,laplace,0.008735999988857657,895,5,5,0,25,235,True,0181557e83a055ea5b9a1623c06648c14650c210255ed51c62f286d9445577a5,500,500,2,1,0.95,nutpie,20270818,,,,,"['Intercept', 'episode[EDR-2]', 'episode[FM-1]', 'group[group_02]', 'z_RMS', 'z_CF', 'z_SW', 'participant[P001]', 'participant[P002]', 'participant[P003]', 'participant[P004]', 'participant[P005]', 'participant[P006]', 'participant[P007]', 'participant[P008]', 'participant[P009]', 'participant[P010]', 'participant[P011]', 'participant[P012]', 'participant[P013]', 'participant[P014]', 'participant[P015]', 'participant[P016]', 'participant[P017]', 'participant[P018]', 'participant[P019]', 'participant[P020]', 'participant[P021]', 'participant[P022]', 'participant[P023]', 'participant[P024]', 'participant[P025]', 'participant[P026]', 'participant[P027]', 'participant[P028]', 'participant[P029]', 'participant[P030]', 'stimulus[id_like_to_know_pxl_s1]', 'stimulus[id_like_to_know_pxl_s2]', 'stimulus[id_like_to_know_pxl_s3]', 'stimulus[id_like_to_know_pxl_s5]', 'stimulus[id_like_to_know_pxl_s7]', 'stimulus[in_the_meantime_du_h]', 'stimulus[in_the_meantime_du_i]', 'stimulus[in_the_meantime_du_k]', 'stimulus[in_the_meantime_qut_b]', 'stimulus[in_the_meantime_qut_pro]', 'stimulus[lead_me_du_d]', 'stimulus[lead_me_du_e]', 'stimulus[lead_me_mcg_pro2]', 'stimulus[lead_me_pxl_l1]', 'stimulus[lead_me_pxl_l4]', 'stimulus[pouring_room_mcg_pro1]', 'stimulus[pouring_room_mcg_r]', 'stimulus[pouring_room_mcg_t]', 'stimulus[pouring_room_mcg_v]', 'stimulus[pouring_room_mcg_x]']",26.691496117884302,1000,empirical_bayes_gaussian_linear_posterior
real_loto__P001__trial_02,P001__trial_02,P001,categorical_design,Stimulus baseline,rating ~ episode + group + (1 | participant_id) + (1 | stimulus_id),fit_ok,Fast empirical-Bayes Gaussian posterior approximation; MCMC diagnostics not applicable.,laplace,0.007708599994657561,895,5,5,0,25,235,True,0181557e83a055ea5b9a1623c06648c14650c210255ed51c62f286d9445577a5,500,500,2,1,0.95,nutpie,20260819,,,,,"['Intercept', 'episode[EDR-2]', 'episode[FM-1]', 'group[group_02]', 'participant[P001]', 'participant[P002]', 'participant[P003]', 'participant[P004]', 'participant[P005]', 'participant[P006]', 'participant[P007]', 'participant[P008]', 'participant[P009]', 'participant[P010]', 'participant[P011]', 'participant[P012]', 'participant[P013]', 'participant[P014]', 'participant[P015]', 'participant[P016]', 'participant[P017]', 'participant[P018]', 'participant[P019]', 'participant[P020]', 'participant[P021]', 'participant[P022]', 'participant[P023]', 'participant[P024]', 'participant[P025]', 'participant[P026]', 'participant[P027]', 'participant[P028]', 'participant[P029]', 'participant[P030]', 'stimulus[id_like_to_know_pxl_s1]', 'stimulus[id_like_to_know_pxl_s2]', 'stimulus[id_like_to_know_pxl_s3]', 'stimulus[id_like_to_know_pxl_s5]', 'stimulus[id_like_to_know_pxl_s7]', 'stimulus[in_the_meantime_du_h]', 'stimulus[in_the_meantime_du_i]', 'stimulus[in_the_meantime_du_k]', 'stimulus[in_the_meantime_qut_b]', 'stimulus[in_the_meantime_qut_pro]', 'stimulus[lead_me_du_d]', 'stimulus[lead_me_du_e]', 'stimulus[lead_me_mcg_pro2]', 'stimulus[lead_me_pxl_l1]', 'stimulus[lead_me_pxl_l4]', 'stimulus[pouring_room_mcg_pro1]', 'stimulus[pouring_room_mcg_r]', 'stimulus[pouring_room_mcg_t]', 'stimulus[pouring_room_mcg_v]', 'stimulus[pouring_room_mcg_x]']",26.67014971259332,1000,empirical_bayes_gaussian_linear_posterior
real_loto__P001__trial_02,P001__trial_02,P001,primary_acoustic,Primary acoustic feature baseline,rating ~ episode + group + z_RMS + z_CF + z_SW + (1 | participant_id) + (1 | stimulus_id),fit_ok,Fast empirical-Bayes Gaussian posterior approximation; MCMC diagnostics not applicable.,laplace,0.008528600010322407,895,5,5,0,25,235,True,0181557e83a055ea5b9a1623c06648c14650c210255ed51c62f286d9445577a5,500,500,2,1,0.95,nutpie,20270819,,,,,"['Intercept', 'episode[EDR-2]', 'episode[FM-1]', 'group[group_02]', 'z_RMS', 'z_CF', 'z_SW', 'participant[P001]', 'participant[P002]', 'participant[P003]', 'participant[P004]', 'participant[P005]', 'participant[P006]', 'participant[P007]', 'participant[P008]', 'participant[P009]', 'participant[P010]', 'participant[P011]', 'participant[P012]', 'participant[P013]', 'participant[P014]', 'participant[P015]', 'participant[P016]', 'participant[P017]', 'participant[P018]', 'participant[P019]', 'participant[P020]', 'participant[P021]', 'participant[P022]', 'participant[P023]', 'participant[P024]', 'participant[P025]', 'participant[P026]', 'participant[P027]', 'participant[P028]', 'participant[P029]', 'participant[P030]', 'stimulus[id_like_to_know_pxl_s1]', 'stimulus[id_like_to_know_pxl_s2]', 'stimulus[id_like_to_know_pxl_s3]', 'stimulus[id_like_to_know_pxl_s5]', 'stimulus[id_like_to_know_pxl_s7]', 'stimulus[in_the_meantime_du_h]', 'stimulus[in_the_meantime_du_i]', 'stimulus[in_the_meantime_du_k]', 'stimulus[in_the_meantime_qut_b]', 'stimulus[in_the_meantime_qut_pro]', 'stimulus[lead_me_du_d]', 'stimulus[lead_me_du_e]', 'stimulus[lead_me_mcg_pro2]', 'stimulus[lead_me_pxl_l1]', 'stimulus[lead_me_pxl_l4]', 'stimulus[pouring_room_mcg_pro1]', 'stimulus[pouring_room_mcg_r]', 'stimulus[pouring_room_mcg_t]', 'stimulus[pouring_room_mcg_v]', 'stimulus[pouring_room_mcg_x]']",26.670149697832205,1000,empirical_bayes_gaussian_linear_posterior
real_loto__P001__trial_03,P001__trial_03,P001,categorical_design,Stimulus baseline,rating ~ episode + group + (1 | participant_id) + (1 | stimulus_id),fit_ok,Fast empirical-Bayes Gaussian posterior approximation; MCMC diagnostics not applicable.,laplace,0.008738199976505712,895,5,5,0,25,235,True,0181557e83a055ea5b9a1623c06648c14650c210255ed51c62f286d9445577a5,500,500,2,1,0.95,nutpie,20260820,,,,,"['Intercept', 'episode[EDR-2]', 'episode[FM-1]', 'group[group_02]', 'participant[P001]', 'participant[P002]', 'participant[P003]', 'participant[P004]', 'participant[P005]', 'participant[P006]', 'participant[P007]', 'participant[P008]', 'participant[P009]', 'participant[P010]', 'participant[P011]', 'participant[P012]', 'participant[P013]', 'participant[P014]', 'participant[P015]', 'participant[P016]', 'participant[P017]', 'participant[P018]', 'participant[P019]', 'participant[P020]', 'participant[P021]', 'participant[P022]', 'participant[P023]', 'participant[P024]', 'participant[P025]', 'participant[P026]', 'participant[P027]', 'participant[P028]', 'participant[P029]', 'participant[P030]', 'stimulus[id_like_to_know_pxl_s1]', 'stimulus[id_like_to_know_pxl_s2]', 'stimulus[id_like_to_know_pxl_s3]', 'stimulus[id_like_to_know_pxl_s5]', 'stimulus[id_like_to_know_pxl_s7]', 'stimulus[in_the_meantime_du_h]', 'stimulus[in_the_meantime_du_i]', 'stimulus[in_the_meantime_du_k]', 'stimulus[in_the_meantime_qut_b]', 'stimulus[in_the_meantime_qut_pro]', 'stimulus[lead_me_du_d]', 'stimulus[lead_me_du_e]', 'stimulus[lead_me_mcg_pro2]', 'stimulus[lead_me_pxl_l1]', 'stimulus[lead_me_pxl_l4]', 'stimulus[pouring_room_mcg_pro1]', 'stimulus[pouring_room_mcg_r]', 'stimulus[pouring_room_mcg_t]', 'stimulus[pouring_room_mcg_v]', 'stimulus[pouring_room_mcg_x]']",26.666314852673043,1000,empirical_bayes_gaussian_linear_posterior
real_loto__P001__trial_03,P001__trial_03,P001,primary_acoustic,Primary acoustic feature baseline,rating ~ episode + group + z_RMS + z_CF + z_SW + (1 | participant_id) + (1 | stimulus_id),fit_ok,Fast empirical-Bayes Gaussian posterior approximation; MCMC diagnostics not applicable.,laplace,0.00965119997272268,895,5,5,0,25,235,True,0181557e83a055ea5b9a1623c06648c14650c210255ed51c62f286d9445577a5,500,500,2,1,0.95,nutpie,20270820,,,,,"['Intercept', 'episode[EDR-2]', 'episode[FM-1]', 'group[group_02]', 'z_RMS', 'z_CF', 'z_SW', 'participant[P001]', 'participant[P002]', 'participant[P003]', 'participant[P004]', 'participant[P005]', 'participant[P006]', 'participant[P007]', 'participant[P008]', 'participant[P009]', 'participant[P010]', 'participant[P011]', 'participant[P012]', 'participant[P013]', 'participant[P014]', 'participant[P015]', 'participant[P016]', 'participant[P017]', 'participant[P018]', 'participant[P019]', 'participant[P020]', 'participant[P021]', 'participant[P022]', 'participant[P023]', 'participant[P024]', 'participant[P025]', 'participant[P026]', 'participant[P027]', 'participant[P028]', 'participant[P029]', 'participant[P030]', 'stimulus[id_like_to_know_pxl_s1]', 'stimulus[id_like_to_know_pxl_s2]', 'stimulus[id_like_to_know_pxl_s3]', 'stimulus[id_like_to_know_pxl_s5]', 'stimulus[id_like_to_know_pxl_s7]', 'stimulus[in_the_meantime_du_h]', 'stimulus[in_the_meantime_du_i]', 'stimulus[in_the_meantime_du_k]', 'stimulus[in_the_meantime_qut_b]', 'stimulus[in_the_meantime_qut_pro]', 'stimulus[lead_me_du_d]', 'stimulus[lead_me_du_e]', 'stimulus[lead_me_mcg_pro2]', 'stimulus[lead_me_pxl_l1]', 'stimulus[lead_me_pxl_l4]', 'stimulus[pouring_room_mcg_pro1]', 'stimulus[pouring_room_mcg_r]', 'stimulus[pouring_room_mcg_t]', 'stimulus[pouring_room_mcg_v]', 'stimulus[pouring_room_mcg_x]']",26.666314837869333,1000,empirical_bayes_gaussian_linear_posterior
real_loto__P001__trial_04,P001__trial_04,P001,categorical_design,Stimulus baseline,rating ~ episode + group + (1 | participant_id) + (1 | stimulus_id),fit_ok,Fast empirical-Bayes Gaussian posterior approximation; MCMC diagnostics not applicable.,laplace,0.009157399996183813,895,5,5,0,25,235,True,0181557e83a055ea5b9a1623c06648c14650c210255ed51c62f286d9445577a5,500,500,2,1,0.95,nutpie,20260821,,,,,"['Intercept', 'episode[EDR-2]', 'episode[FM-1]', 'group[group_02]', 'participant[P001]', 'participant[P002]', 'participant[P003]', 'participant[P004]', 'participant[P005]', 'participant[P006]', 'participant[P007]', 'participant[P008]', 'participant[P009]', 'participant[P010]', 'participant[P011]', 'participant[P012]', 'participant[P013]', 'participant[P014]', 'participant[P015]', 'participant[P016]', 'participant[P017]', 'participant[P018]', 'participant[P019]', 'participant[P020]', 'participant[P021]', 'participant[P022]', 'participant[P023]', 'participant[P024]', 'participant[P025]', 'participant[P026]', 'participant[P027]', 'participant[P028]', 'participant[P029]', 'participant[P030]', 'stimulus[id_like_to_know_pxl_s1]', 'stimulus[id_like_to_know_pxl_s2]', 'stimulus[id_like_to_know_pxl_s3]', 'stimulus[id_like_to_know_pxl_s5]', 'stimulus[id_like_to_know_pxl_s7]', 'stimulus[in_the_meantime_du_h]', 'stimulus[in_the_meantime_du_i]', 'stimulus[in_the_meantime_du_k]', 'stimulus[in_the_meantime_qut_b]', 'stimulus[in_the_meantime_qut_pro]', 'stimulus[lead_me_du_d]', 'stimulus[lead_me_du_e]', 'stimulus[lead_me_mcg_pro2]', 'stimulus[lead_me_pxl_l1]', 'stimulus[lead_me_pxl_l4]', 'stimulus[pouring_room_mcg_pro1]', 'stimulus[pouring_room_mcg_r]', 'stimulus[pouring_room_mcg_t]', 'stimulus[pouring_room_mcg_v]', 'stimulus[pouring_room_mcg_x]']",26.669370399378327,1000,empirical_bayes_gaussian_linear_posterior
real_loto__P001__trial_04,P001__trial_04,P001,primary_acoustic,Primary acoustic feature baseline,rating ~ episode + group + z_RMS + z_CF + z_SW + (1 | participant_id) + (1 | stimulus_id),fit_ok,Fast empirical-Bayes Gaussian posterior approximation; MCMC diagnostics not applicable.,laplace,0.009690800012322143,895,5,5,0,25,235,True,0181557e83a055ea5b9a1623c06648c14650c210255ed51c62f286d9445577a5,500,500,2,1,0.95,nutpie,20270821,,,,,"['Intercept', 'episode[EDR-2]', 'episode[FM-1]', 'group[group_02]', 'z_RMS', 'z_CF', 'z_SW', 'participant[P001]', 'participant[P002]', 'participant[P003]', 'participant[P004]', 'participant[P005]', 'participant[P006]', 'participant[P007]', 'participant[P008]', 'participant[P009]', 'participant[P010]', 'participant[P011]', 'participant[P012]', 'participant[P013]', 'participant[P014]', 'participant[P015]', 'participant[P016]', 'participant[P017]', 'participant[P018]', 'participant[P019]', 'participant[P020]', 'participant[P021]', 'participant[P022]', 'participant[P023]', 'participant[P024]', 'participant[P025]', 'participant[P026]', 'participant[P027]', 'participant[P028]', 'participant[P029]', 'participant[P030]', 'stimulus[id_like_to_know_pxl_s1]', 'stimulus[id_like_to_know_pxl_s2]', 'stimulus[id_like_to_know_pxl_s3]', 'stimulus[id_like_to_know_pxl_s5]', 'stimulus[id_like_to_know_pxl_s7]', 'stimulus[in_the_meantime_du_h]', 'stimulus[in_the_meantime_du_i]', 'stimulus[in_the_meantime_du_k]', 'stimulus[in_the_meantime_qut_b]', 'stimulus[in_the_meantime_qut_pro]', 'stimulus[lead_me_du_d]', 'stimulus[lead_me_du_e]', 'stimulus[lead_me_mcg_pro2]', 'stimulus[lead_me_pxl_l1]', 'stimulus[lead_me_pxl_l4]', 'stimulus[pouring_room_mcg_pro1]', 'stimulus[pouring_room_mcg_r]', 'stimulus[pouring_room_mcg_t]', 'stimulus[pouring_room_mcg_v]', 'stimulus[pouring_room_mcg_x]']",26.669370384624315,1000,empirical_bayes_gaussian_linear_posterior
real_loto__P001__trial_05,P001__trial_05,P001,categorical_design,Stimulus baseline,rating ~ episode + group + (1 | participant_id) + (1 | stimulus_id),fit_ok,Fast empirical-Bayes Gaussian posterior approximation; MCMC diagnostics not applicable.,laplace,0.008041900000534952,895,5,5,0,25,235,True,0181557e83a055ea5b9a1623c06648c14650c210255ed51c62f286d9445577a5,500,500,2,1,0.95,nutpie,20260822,,,,,"['Intercept', 'episode[EDR-2]', 'episode[FM-1]', 'group[group_02]', 'participant[P001]', 'participant[P002]', 'participant[P003]', 'participant[P004]', 'participant[P005]', 'participant[P006]', 'participant[P007]', 'participant[P008]', 'participant[P009]', 'participant[P010]', 'participant[P011]', 'participant[P012]', 'participant[P013]', 'participant[P014]', 'participant[P015]', 'participant[P016]', 'participant[P017]', 'participant[P018]', 'participant[P019]', 'participant[P020]', 'participant[P021]', 'participant[P022]', 'participant[P023]', 'participant[P024]', 'participant[P025]', 'participant[P026]', 'participant[P027]', 'participant[P028]', 'participant[P029]', 'participant[P030]', 'stimulus[id_like_to_know_pxl_s1]', 'stimulus[id_like_to_know_pxl_s2]', 'stimulus[id_like_to_know_pxl_s3]', 'stimulus[id_like_to_know_pxl_s5]', 'stimulus[id_like_to_know_pxl_s7]', 'stimulus[in_the_meantime_du_h]', 'stimulus[in_the_meantime_du_i]', 'stimulus[in_the_meantime_du_k]', 'stimulus[in_the_meantime_qut_b]', 'stimulus[in_the_meantime_qut_pro]', 'stimulus[lead_me_du_d]', 'stimulus[lead_me_du_e]', 'stimulus[lead_me_mcg_pro2]', 'stimulus[lead_me_pxl_l1]', 'stimulus[lead_me_pxl_l4]', 'stimulus[pouring_room_mcg_pro1]', 'stimulus[pouring_room_mcg_r]', 'stimulus[pouring_room_mcg_t]', 'stimulus[pouring_room_mcg_v]', 'stimulus[pouring_room_mcg_x]']",26.671347681814385,1000,empirical_bayes_gaussian_linear_posterior
real_loto__P001__trial_05,P001__trial_05,P001,primary_acoustic,Primary acoustic feature baseline,rating ~ episode + group + z_RMS + z_CF + z_SW + (1 | participant_id) + (1 | stimulus_id),fit_ok,Fast empirical-Bayes Gaussian posterior approximation; MCMC diagnostics not applicable.,laplace,0.00905249998322688,895,5,5,0,25,235,True,0181557e83a055ea5b9a1623c06648c14650c210255ed51c62f286d9445577a5,500,500,2,1,0.95,nutpie,20270822,,,,,"['Intercept', 'episode[EDR-2]', 'episode[FM-1]', 'group[group_02]', 'z_RMS', 'z_CF', 'z_SW', 'participant[P001]', 'participant[P002]', 'participant[P003]', 'participant[P004]', 'participant[P005]', 'participant[P006]', 'participant[P007]', 'participant[P008]', 'participant[P009]', 'participant[P010]', 'participant[P011]', 'participant[P012]', 'participant[P013]', 'participant[P014]', 'participant[P015]', 'participant[P016]', 'participant[P017]', 'participant[P018]', 'participant[P019]', 'participant[P020]', 'participant[P021]', 'participant[P022]', 'participant[P023]', 'participant[P024]', 'participant[P025]', 'participant[P026]', 'participant[P027]', 'participant[P028]', 'participant[P029]', 'participant[P030]', 'stimulus[id_like_to_know_pxl_s1]', 'stimulus[id_like_to_know_pxl_s2]', 'stimulus[id_like_to_know_pxl_s3]', 'stimulus[id_like_to_know_pxl_s5]', 'stimulus[id_like_to_know_pxl_s7]', 'stimulus[in_the_meantime_du_h]', 'stimulus[in_the_meantime_du_i]', 'stimulus[in_the_meantime_du_k]', 'stimulus[in_the_meantime_qut_b]', 'stimulus[in_the_meantime_qut_pro]', 'stimulus[lead_me_du_d]', 'stimulus[lead_me_du_e]', 'stimulus[lead_me_mcg_pro2]', 'stimulus[lead_me_pxl_l1]', 'stimulus[lead_me_pxl_l4]', 'stimulus[pouring_room_mcg_pro1]', 'stimulus[pouring_room_mcg_r]', 'stimulus[pouring_room_mcg_t]', 'stimulus[pouring_room_mcg_v]', 'stimulus[pouring_room_mcg_x]']",26.671347667003886,1000,empirical_bayes_gaussian_linear_posterior
